Customer,Spectral Frequency,K-means cluster,Profiles
459,0.5,6,['KVKSEGMENT_4']
460,0.73,13,['KVKSEGMENT_4']
461,24.0,1,['KVKSEGMENT_12']
463,24.0,1,['KVKSEGMENT_1']
465,24.0,1,['E3A']
466,2.4,5,['E3B']
467,24.0,1,['E3B']
468,24.0,1,['E3B']
470,0.51,6,['E3A']
471,0.53,6,['KVKSEGMENT_15']
473,1.04,0,['E3C']
474,0.69,22,['KVKSEGMENT_1']
475,0.75,13,['KVKSEGMENT_4']
481,0.5,6,['KVKSEGMENT_12']
482,0.56,25,['KVKSEGMENT_10']
484,0.6,17,['E3A']
485,24.0,1,['KVKSEGMENT_10']
486,0.55,25,['E3A']
487,1.0,0,['E3C']
488,12.0,2,['KVKSEGMENT_10']
489,0.55,25,['E3A']
490,0.54,25,['E3A']
491,24.0,1,['E3A']
493,0.7,22,['E3A']
494,1.0,0,['KVKSEGMENT_14']
497,24.0,1,['E3B']
498,0.52,6,['E3B']
499,24.0,1,['KVKSEGMENT_13']
500,0.67,22,['KVKSEGMENT_8']
501,12.0,2,['E3A']
502,1.41,10,['E3A']
503,24.0,1,['KVKSEGMENT_4']
505,12.0,2,['KVKSEGMENT_19']
508,8.0,7,['KVKSEGMENT_9']
509,24.0,1,['KVKSEGMENT_20']
510,24.0,1,['KVKSEGMENT_8']
511,0.77,13,['E3A']
512,0.5,6,['KVKSEGMENT_18']
513,0.5,6,['E3D']
514,24.0,1,['E3C']
518,12.0,2,['E3A']
520,0.57,25,['KVKSEGMENT_1']
521,0.56,25,['E3B']
522,0.75,13,['KVKSEGMENT_8']
523,24.0,1,['E3A']
524,0.55,25,['E3D']
525,24.0,1,['KVKSEGMENT_2']
526,12.0,2,['KVKSEGMENT_19']
527,0.52,6,['E3A']
529,0.54,25,['E3A']
531,24.0,1,['KVKSEGMENT_13']
533,0.51,6,['E3A']
536,24.0,1,['E3C']
537,12.0,2,['E3B']
538,12.0,2,['KVKSEGMENT_1']
543,24.0,1,['KVKSEGMENT_13']
544,0.5,6,['KVKSEGMENT_8']
545,24.0,1,['KVKSEGMENT_14']
546,24.0,1,['E3A']
547,24.0,1,['KVKSEGMENT_4']
548,0.6,17,['E3B']
549,24.0,1,['E3C']
554,0.5,6,['KVKSEGMENT_14']
555,24.0,1,['KVKSEGMENT_1']
556,24.0,1,['E3A']
557,24.0,1,['KVKSEGMENT_4']
558,24.0,1,['E3B']
559,24.0,1,['E3A']
560,0.51,6,['E3A']
561,0.51,6,['KVKSEGMENT_10']
562,24.0,1,['KVKSEGMENT_17']
563,24.0,1,['KVKSEGMENT_20']
564,1.33,19,['E3A']
566,0.52,6,['KVKSEGMENT_20']
567,24.0,1,['E3B']
568,24.0,1,['E3C']
569,0.51,6,['KVKSEGMENT_18']
571,12.0,2,['E3A']
572,0.68,22,['KVKSEGMENT_20']
575,0.51,6,['E3A']
576,24.0,1,['KVKSEGMENT_4']
577,0.5,6,['KVKSEGMENT_2']
578,2.67,16,['KVKSEGMENT_1']
579,1.33,19,['KVKSEGMENT_4']
580,0.6,17,['E3A']
581,0.56,25,['KVKSEGMENT_18']
582,0.7,22,['KVKSEGMENT_6']
583,24.0,1,['E3B']
584,0.67,22,['KVKSEGMENT_16']
585,8.0,7,['KVKSEGMENT_11']
587,24.0,1,['E3A']
588,0.51,6,['KVKSEGMENT_20']
589,0.53,6,['E3A']
590,0.54,25,['E3A']
592,2.0,9,['E3D']
595,0.56,25,['KVKSEGMENT_16']
597,0.52,6,['E3C']
598,0.55,25,['KVKSEGMENT_13']
599,1.5,10,['E3C']
601,0.52,6,['E3A']
603,24.0,1,['KVKSEGMENT_20']
605,2.0,9,['KVKSEGMENT_18']
607,24.0,1,['E3B']
608,24.0,1,['KVKSEGMENT_17']
610,24.0,1,['KVKSEGMENT_8']
611,0.56,25,['KVKSEGMENT_17']
613,1.24,14,['KVKSEGMENT_11']
614,6.0,4,['KVKSEGMENT_1']
615,0.52,6,['KVKSEGMENT_9']
616,0.82,21,['KVKSEGMENT_1']
618,0.55,25,['KVKSEGMENT_13']
619,0.75,13,['KVKSEGMENT_8']
620,0.5,6,['KVKSEGMENT_8']
621,24.0,1,['KVKSEGMENT_18']
622,24.0,1,['E3A']
624,0.5,6,['KVKSEGMENT_14']
625,24.0,1,['KVKSEGMENT_1']
627,24.0,1,['KVKSEGMENT_12']
630,2.4,5,['KVKSEGMENT_1']
631,24.0,1,['E3A']
633,24.0,1,['KVKSEGMENT_12']
634,0.51,6,['E3A']
637,1.5,10,['E3C']
638,1.0,0,['E3A']
639,24.0,1,['E3A']
640,24.0,1,['KVKSEGMENT_8']
641,0.55,25,['E3D']
642,24.0,1,['E3A']
643,0.51,6,['KVKSEGMENT_18']
647,0.5,6,['KVKSEGMENT_1']
648,24.0,1,['KVKSEGMENT_8']
649,24.0,1,['KVKSEGMENT_4']
650,0.55,25,['KVKSEGMENT_8']
651,0.67,22,['E3C']
653,24.0,1,['E3B']
654,24.0,1,['KVKSEGMENT_1']
655,0.86,21,['E3C']
656,24.0,1,['E3B']
658,24.0,1,['E3C']
659,24.0,1,['E3C']
661,3.0,11,['KVKSEGMENT_4']
662,0.66,22,['KVKSEGMENT_8']
663,24.0,1,['E3C']
665,1.41,10,['E3A']
666,0.5,6,['KVKSEGMENT_7']
667,0.57,25,['KVKSEGMENT_10']
669,12.0,2,['KVKSEGMENT_19']
671,24.0,1,['KVKSEGMENT_8']
672,0.57,25,['KVKSEGMENT_4']
